@relation OverallDataSet

@attribute cusip STRING
@attribute firmTqIntervalDiff NUMERIC
@attribute firmProfIntervalDiff NUMERIC
@attribute sicTqIntervalDiff NUMERIC
@attribute sicProfIntervalDiff NUMERIC
@attribute TimeBlock STRING


@data

00439T206,-1.3571519E-5,-0.0013218294,-0.023229552,-0.0017865584,BEFORE
004724100,0.005361424,-0.0010645112,-0.008130486,-4.429628E-4,BEFORE
000973107,-0.07372781,-0.0012439748,-0.052256495,-0.0018847033,BEFORE
00503U105,-0.034528375,-0.0036256085,-0.12384727,-0.001358942,BEFORE
006847107,-0.007709925,-2.832971E-4,-0.058169678,2.879306E-4,BEFORE
006848105,-0.041144334,-8.4138697E-4,-0.04271671,-0.0010449744,BEFORE
31865X106,0.044144433,-6.9327405E-5,-0.0302893,8.0742623E-4,BEFORE
008494106,-0.14085568,-0.0038846855,-0.10642419,-0.0013834679,BEFORE
009114109,0.015609284,0.0015335643,-0.04304089,0.002766301,BEFORE
867071102,0.008916775,-7.004936E-5,-0.0033258852,-9.0117115E-5,BEFORE
01747T102,-0.12185535,0.0023222223,-0.02622356,0.0075313332,BEFORE
018593103,-0.0029505533,-0.0021713555,-0.022754231,-0.0013618303,BEFORE
019223106,-1.9591105E-6,4.773625E-4,-0.009494769,-5.0500437E-4,BEFORE
019411107,-0.0379782,-0.0037840004,-0.029151818,-0.0011246516,BEFORE
019519008,0.023232639,-0.0036886346,-0.03312836,-0.005595484,BEFORE
02146C104,-0.0079070395,-2.2344542E-4,-0.04430901,-1.4247221E-4,BEFORE
023006109,-0.06227511,-0.0069116787,0.4145822,0.011051238,BEFORE
023395106,0.0013429696,-9.84135E-4,-0.016022488,-9.068768E-4,BEFORE
023395106,0.0013429696,-9.84135E-4,-0.016022488,-9.068768E-4,BEFORE
023426703,0.002446565,8.579426E-5,-0.012578567,-4.5479828E-4,BEFORE
023586100,-0.0034274992,-4.96111E-4,-0.0145350965,-7.4517715E-4,BEFORE
90341W108,-0.004913305,7.8746746E-4,-0.020985326,-5.2093214E-4,BEFORE
024490302,0.014625754,5.243377E-4,-0.009934503,-7.670279E-4,BEFORE
024928103,4.2346452E-4,-0.001460459,-0.028758261,-0.0010225376,BEFORE
02553G101,-0.03207105,-0.0026766928,-0.033572987,-0.0017239299,BEFORE
026496208,-0.00197623,-6.225563E-4,-0.03303578,-0.001749959,BEFORE
026652107,-0.027358182,-0.0022906067,-0.026588172,-0.0016822966,BEFORE
028816106,-0.050018363,-0.0023714905,-0.07049073,-0.0027320182,BEFORE
029318300,0.0031949019,-8.896732E-4,-0.014037414,-9.642158E-4,BEFORE
030789507,-0.0044176276,-2.0786888E-4,-0.009703996,-1.9389199E-4,BEFORE
030789507,-0.0044176276,-2.0786888E-4,-0.009703996,-1.9389199E-4,BEFORE
03113V109,-0.031202646,-4.5370293E-4,-0.048833188,-0.0014550253,BEFORE
03237E108,-0.0050673704,-0.0013148616,-0.022158094,-0.0014222115,BEFORE
001813104,-0.0018433214,-0.0022451475,-0.06333946,-0.005216574,BEFORE
03304B300,-0.011921664,-0.0017043104,-0.06283615,-0.0031982707,BEFORE
03304B300,-0.011921664,-0.0017043104,-0.06283615,-0.0031982707,BEFORE
03304B300,-0.011921664,-0.0017043104,-0.06283615,-0.0031982707,BEFORE
G6359F103,-0.023664946,-0.0034802742,-0.04951495,-0.0040239836,BEFORE
381119106,-0.035611328,-1.178074E-5,-0.059684902,1.5357527E-4,BEFORE
038196101,0.0049072346,-3.8163186E-4,-0.015818028,-8.300296E-4,BEFORE
038213104,-0.005744669,-0.0061513707,-0.01228158,-3.5541947E-4,BEFORE
001937101,-0.01681731,-9.667523E-4,-0.019209567,-5.79157E-4,BEFORE
G04397108,-0.085562706,-0.0036798355,-0.10310704,-0.002806332,BEFORE
90341G103,6.121783E-4,6.147667E-4,-0.02560321,-7.766666E-4,BEFORE
G05330108,-0.10862249,0.0016995448,0.61595565,-0.007081275,BEFORE
04544X300,-0.031104438,2.1204405E-6,-0.033463996,-2.3532372E-4,BEFORE
04648X107,-4.2749444E-4,-3.535672E-4,-0.023698397,-1.3618622E-4,BEFORE
045919107,-0.74875885,-0.0013596636,-0.46388206,0.0022101915,BEFORE
04649A106,0.04841235,8.625053E-4,-0.04545098,7.5215584E-4,BEFORE
37990V204,0.0042804386,-0.0010598337,-0.0119868275,-8.759976E-4,BEFORE
046613105,-3.5417717E-4,-0.0012155629,-0.0127978595,-5.692099E-4,BEFORE
050727106,-0.050787583,-0.0014500782,-0.051173367,-0.0012123749,BEFORE
05336P108,-0.020876616,-4.7899596E-4,-0.04182012,-0.002014914,BEFORE
05873K108,0.036986794,0.0039781085,-0.014605765,-7.045565E-4,BEFORE
05873K108,0.036986794,0.0039781085,-0.014605765,-7.045565E-4,BEFORE
069744100,0.036161922,-0.008784315,-0.036020935,-1.475037E-4,BEFORE
074002205,-0.0024617512,9.677305E-4,-0.020688664,-1.7498572E-4,BEFORE
077266104,0.0018321606,3.9309092E-4,-0.017996544,-9.323179E-4,BEFORE
086553104,-0.0030520267,-4.888093E-4,-0.004092931,-5.3147937E-4,BEFORE
086553104,-0.0030520267,-4.888093E-4,-0.004092931,-5.3147937E-4,BEFORE
087509105,-0.0021137963,-0.0011041958,-0.0065106167,-5.129362E-4,BEFORE
091250100,0.006149713,3.591222E-4,-0.01760898,-4.991788E-4,BEFORE
055607105,-0.013308438,-9.86347E-4,-0.029642547,-0.001376902,BEFORE
099541203,-0.0037432406,-7.8687025E-4,-0.02279516,-9.508679E-4,BEFORE
100578103,-0.06928496,-8.009949E-4,-0.0919819,-6.9167727E-4,BEFORE
104499207,0.0011228715,-4.9872906E-4,-0.0033125572,-3.027945E-4,BEFORE
104499207,0.0011228715,-4.9872906E-4,-0.0033125572,-3.027945E-4,BEFORE
105425102,0.008930996,-0.0073917042,-0.0734853,-0.0023607882,BEFORE
