@relation 'after_sic_and_firm-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.InterquartileRange-R1,2-O3.0-E6.0-E-as-O-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C4-Llast-weka.filters.unsupervised.attribute.Remove-R4-5-weka.filters.supervised.instance.SpreadSubsample-M0.0-X140.0-S1'

@attribute Tobins_Q numeric
@attribute Profitability numeric
@attribute class {AFTER_FIRM,AFTER_SIC}

@data
0.327196,0.530015,AFTER_FIRM
0.299045,0.53598,AFTER_FIRM
0.303236,0.470816,AFTER_FIRM
0.334814,0.506297,AFTER_FIRM
0.327196,0.530015,AFTER_FIRM
0.31566,0.484913,AFTER_FIRM
0.326647,0.495392,AFTER_FIRM
0.325857,0.488628,AFTER_FIRM
0.366849,0.512912,AFTER_FIRM
0.324102,0.481814,AFTER_FIRM
0.445132,0.489829,AFTER_FIRM
0.382739,0.497203,AFTER_FIRM
0.328469,0.492949,AFTER_FIRM
0.330211,0.497495,AFTER_FIRM
0.31735,0.495241,AFTER_FIRM
0.300806,0.512986,AFTER_FIRM
0.311268,0.489173,AFTER_FIRM
0.293569,0.529594,AFTER_FIRM
0.323391,0.499653,AFTER_FIRM
0.260369,0.466846,AFTER_FIRM
0.32172,0.507101,AFTER_FIRM
0.345275,0.500165,AFTER_FIRM
0.324154,0.509312,AFTER_FIRM
0.318496,0.501491,AFTER_FIRM
0.335999,0.50093,AFTER_FIRM
0.299281,0.498339,AFTER_FIRM
0.290495,0.474021,AFTER_FIRM
0.335267,0.497912,AFTER_FIRM
0.318862,0.497567,AFTER_FIRM
0.322288,0.486465,AFTER_FIRM
0.33571,0.493774,AFTER_FIRM
0.294695,0.484128,AFTER_FIRM
0.313493,0.491796,AFTER_FIRM
0.329916,0.473916,AFTER_FIRM
0.324589,0.492116,AFTER_FIRM
0.343664,0.43005,AFTER_FIRM
0.295007,0.480622,AFTER_FIRM
0.334814,0.506297,AFTER_FIRM
0.318109,0.488147,AFTER_FIRM
0.326046,0.497777,AFTER_FIRM
0.339577,0.493372,AFTER_FIRM
0.294695,0.484128,AFTER_FIRM
0.357776,0.492967,AFTER_FIRM
0.296276,0.498467,AFTER_FIRM
0.341554,0.439908,AFTER_FIRM
0.318464,0.501012,AFTER_FIRM
0.377184,0.50379,AFTER_FIRM
0.327217,0.502112,AFTER_FIRM
0.419067,0.495877,AFTER_FIRM
0.36522,0.525722,AFTER_FIRM
0.312429,0.449323,AFTER_FIRM
0.412651,0.524244,AFTER_FIRM
0.33952,0.498439,AFTER_FIRM
0.31966,0.496218,AFTER_FIRM
0.320003,0.488424,AFTER_FIRM
0.313493,0.491796,AFTER_FIRM
0.309317,0.496985,AFTER_FIRM
0.347421,0.545788,AFTER_FIRM
0.290854,0.50191,AFTER_FIRM
0.407445,0.520257,AFTER_FIRM
0.31376,0.49622,AFTER_FIRM
0.320198,0.497308,AFTER_FIRM
0.330223,0.505526,AFTER_FIRM
0.299281,0.498339,AFTER_FIRM
0.373638,0.495457,AFTER_FIRM
0.332112,0.485123,AFTER_FIRM
0.355311,0.505714,AFTER_FIRM
0.36237,0.453899,AFTER_FIRM
0.330215,0.497188,AFTER_FIRM
0.329555,0.50644,AFTER_FIRM
0.415319,0.490998,AFTER_FIRM
0.32362,0.49627,AFTER_FIRM
0.321782,0.506289,AFTER_FIRM
0.32172,0.507101,AFTER_FIRM
0.320413,0.493303,AFTER_FIRM
0.371119,0.460666,AFTER_FIRM
0.320381,0.495103,AFTER_FIRM
0.335443,0.480505,AFTER_FIRM
0.348801,0.548879,AFTER_FIRM
0.324589,0.492116,AFTER_FIRM
0.355761,0.507158,AFTER_FIRM
0.347199,0.510171,AFTER_FIRM
0.344229,0.515945,AFTER_FIRM
0.332255,0.510647,AFTER_FIRM
0.319872,0.493288,AFTER_FIRM
0.338958,0.494571,AFTER_FIRM
0.271505,0.465094,AFTER_FIRM
0.331378,0.482057,AFTER_FIRM
0.318109,0.488147,AFTER_FIRM
0.341986,0.516461,AFTER_FIRM
0.329035,0.50269,AFTER_FIRM
0.32362,0.49627,AFTER_FIRM
0.338839,0.489254,AFTER_FIRM
0.333676,0.50544,AFTER_FIRM
0.290495,0.474021,AFTER_FIRM
0.293569,0.529594,AFTER_FIRM
