@RELATION all_sic_and_firm

@ATTRIBUTE Tobins_Q NUMERIC
@ATTRIBUTE Profitability NUMERIC
@ATTRIBUTE class {BEFORE_FIRM,BEFORE_SIC,DURING_FIRM,DURING_SIC,AFTER_FIRM,AFTER_SIC}

@DATA
-1.35715E-05,-0.001321829,BEFORE_FIRM
0.005361424,-0.001064511,BEFORE_FIRM
-0.073727809,-0.001243975,BEFORE_FIRM
-0.034528375,-0.003625609,BEFORE_FIRM
-0.007709925,-0.000283297,BEFORE_FIRM
-0.041144334,-0.000841387,BEFORE_FIRM
0.044144433,-6.93274E-05,BEFORE_FIRM
-0.140855685,-0.003884685,BEFORE_FIRM
0.015609284,0.001533564,BEFORE_FIRM
0.008916775,-7.00494E-05,BEFORE_FIRM
-0.121855348,0.002322222,BEFORE_FIRM
-0.002950553,-0.002171356,BEFORE_FIRM
-1.95911E-06,0.000477363,BEFORE_FIRM
-0.037978198,-0.003784,BEFORE_FIRM
0.023232639,-0.003688635,BEFORE_FIRM
-0.007907039,-0.000223445,BEFORE_FIRM
-0.003271874,0.000159018,BEFORE_FIRM
-0.003271874,0.000159018,BEFORE_FIRM
-0.062275112,-0.006911679,BEFORE_FIRM
0.00134297,-0.000984135,BEFORE_FIRM
0.00134297,-0.000984135,BEFORE_FIRM
0.002446565,8.57943E-05,BEFORE_FIRM
-0.003427499,-0.000496111,BEFORE_FIRM
-0.004913305,0.000787467,BEFORE_FIRM
0.014625754,0.000524338,BEFORE_FIRM
0.000423465,-0.001460459,BEFORE_FIRM
-0.03207105,-0.002676693,BEFORE_FIRM
-0.00197623,-0.000622556,BEFORE_FIRM
-0.027358182,-0.002290607,BEFORE_FIRM
-0.050018363,-0.00237149,BEFORE_FIRM
0.003194902,-0.000889673,BEFORE_FIRM
-0.004417628,-0.000207869,BEFORE_FIRM
-0.004417628,-0.000207869,BEFORE_FIRM
-0.031202646,-0.000453703,BEFORE_FIRM
-0.00506737,-0.001314862,BEFORE_FIRM
-0.001843321,-0.002245147,BEFORE_FIRM
-0.011921664,-0.00170431,BEFORE_FIRM
-0.011921664,-0.00170431,BEFORE_FIRM
-0.011921664,-0.00170431,BEFORE_FIRM
-0.023664946,-0.003480274,BEFORE_FIRM
-0.037182979,-0.000704427,BEFORE_FIRM
-0.035611328,-1.17807E-05,BEFORE_FIRM
0.004907235,-0.000381632,BEFORE_FIRM
-0.005744669,-0.006151371,BEFORE_FIRM
-0.016817311,-0.000966752,BEFORE_FIRM
-0.085562706,-0.003679835,BEFORE_FIRM
0.000612178,0.000614767,BEFORE_FIRM
-0.020687407,-0.001671886,BEFORE_FIRM
-0.108622491,0.001699545,BEFORE_FIRM
-0.031104438,2.12044E-06,BEFORE_FIRM
-0.000427494,-0.000353567,BEFORE_FIRM
-0.748758852,-0.001359664,BEFORE_FIRM
0.048412349,0.000862505,BEFORE_FIRM
0.004280439,-0.001059834,BEFORE_FIRM
-0.000354177,-0.001215563,BEFORE_FIRM
-0.050787583,-0.001450078,BEFORE_FIRM
-0.007738007,0.000376537,BEFORE_FIRM
-0.020876616,-0.000478996,BEFORE_FIRM
0.036986794,0.003978109,BEFORE_FIRM
0.036986794,0.003978109,BEFORE_FIRM
0.036161922,-0.008784315,BEFORE_FIRM
-0.002461751,0.00096773,BEFORE_FIRM
0.001832161,0.000393091,BEFORE_FIRM
-0.003052027,-0.000488809,BEFORE_FIRM
-0.003052027,-0.000488809,BEFORE_FIRM
-0.002113796,-0.001104196,BEFORE_FIRM
0.006149713,0.000359122,BEFORE_FIRM
-0.013308438,-0.000986347,BEFORE_FIRM
-0.007457648,-0.000417414,BEFORE_FIRM
-0.003743241,-0.00078687,BEFORE_FIRM
-0.069284961,-0.000800995,BEFORE_FIRM
0.001122872,-0.000498729,BEFORE_FIRM
0.001122872,-0.000498729,BEFORE_FIRM
0.031924047,-0.004050289,BEFORE_FIRM
0.008930996,-0.007391704,BEFORE_FIRM
-0.057266422,-0.001478862,BEFORE_FIRM
-0.007632229,0.000482451,BEFORE_FIRM
-0.00247002,-0.00063818,BEFORE_FIRM
-0.001507414,-0.001467109,BEFORE_FIRM
-0.009871813,-0.002722859,BEFORE_FIRM
-0.006287286,-0.000839813,BEFORE_FIRM
-0.010640726,-0.00137776,BEFORE_FIRM
0.003366689,-0.000444457,BEFORE_FIRM
-0.000356855,-0.000386911,BEFORE_FIRM
0.005708287,0.000364654,BEFORE_FIRM
-0.010880413,4.34876E-05,BEFORE_FIRM
-0.023329556,-0.001782398,BEFORE_FIRM
0.009129977,-0.000883827,BEFORE_FIRM
-0.004756697,-0.001249002,BEFORE_FIRM
-0.113390863,-0.002608904,BEFORE_FIRM
-0.009240737,-0.000855635,BEFORE_FIRM
0.019101886,-0.000831014,BEFORE_FIRM
-0.000359255,0.000941594,BEFORE_FIRM
0.001342217,0.000672542,BEFORE_FIRM
-0.017346663,0.0003102,BEFORE_FIRM
-0.002257117,0.000343903,BEFORE_FIRM
-0.02566885,-0.001434669,BEFORE_FIRM
-0.003444046,-0.000856952,BEFORE_FIRM
0.010635972,0.00047827,BEFORE_FIRM
0.004085387,-0.001212153,BEFORE_FIRM
-0.006913281,-0.000373803,BEFORE_FIRM
-0.004464149,-0.000157142,BEFORE_FIRM
0.000408693,7.3506E-05,BEFORE_FIRM
0.000484122,-0.002254342,BEFORE_FIRM
-0.006711954,-0.000185516,BEFORE_FIRM
-0.075876638,0.010571543,BEFORE_FIRM
0.001680313,1.02258E-05,BEFORE_FIRM
-0.006362046,-0.001132593,BEFORE_FIRM
-0.003729947,-0.000820055,BEFORE_FIRM
-0.796830475,0.000140256,BEFORE_FIRM
-0.009800111,-0.00012483,BEFORE_FIRM
0.012607932,-0.003755865,BEFORE_FIRM
0.012607932,-0.003755865,BEFORE_FIRM
-0.01372276,9.61385E-05,BEFORE_FIRM
-0.0266155,-0.001487056,BEFORE_FIRM
0.00216632,0.000561405,BEFORE_FIRM
-0.005296174,-0.001702698,BEFORE_FIRM
0.003860109,0.000127588,BEFORE_FIRM
-0.006579675,0.001280296,BEFORE_FIRM
-0.006579675,0.001280296,BEFORE_FIRM
-0.000734408,-0.000655588,BEFORE_FIRM
0.062068034,-0.000461492,BEFORE_FIRM
0.003587914,-0.001577922,BEFORE_FIRM
-0.001513351,0.000374106,BEFORE_FIRM
-0.007647663,-0.014767191,BEFORE_FIRM
-0.359534949,-0.004079768,BEFORE_FIRM
-0.012688113,-0.001467473,BEFORE_FIRM
0.00967,-0.000753936,BEFORE_FIRM
-0.001215489,-0.00168912,BEFORE_FIRM
0.009285632,-0.000350476,BEFORE_FIRM
-0.068441495,0.002022835,BEFORE_FIRM
-0.025034919,-0.007672974,BEFORE_FIRM
-0.03186018,0.000125515,BEFORE_FIRM
-0.012914177,-0.000379078,BEFORE_FIRM
-0.002526267,-0.000406722,BEFORE_FIRM
-0.002725073,-0.000371282,BEFORE_FIRM
-0.015305209,-0.001890191,BEFORE_FIRM
-0.026174389,0.000905825,BEFORE_FIRM
-0.063535757,-0.005717789,BEFORE_FIRM
-0.053127784,0.004468475,BEFORE_FIRM
0.016117176,-0.001677033,BEFORE_FIRM
0.005438048,-0.000374618,BEFORE_FIRM
0.001535098,-0.001605099,BEFORE_FIRM
-0.032206692,0.001527025,BEFORE_FIRM
-0.010639098,-0.000590029,BEFORE_FIRM
-0.027606925,0.001436309,BEFORE_FIRM
-0.103241444,-0.004864722,BEFORE_FIRM
0.001183104,-0.000587626,BEFORE_FIRM
-0.003279801,-0.000691376,BEFORE_FIRM
-0.000822712,-0.000971576,BEFORE_FIRM
-0.005921725,-0.00105428,BEFORE_FIRM
0.005636485,0.000880061,BEFORE_FIRM
0.001413436,-0.000241885,BEFORE_FIRM
-0.005715773,-0.008984201,BEFORE_FIRM
-0.01939309,-0.000586089,BEFORE_FIRM
-0.01939309,-0.000586089,BEFORE_FIRM
0.003775895,-0.000647427,BEFORE_FIRM
-0.028590016,0.001019318,BEFORE_FIRM
-0.027455095,-0.005578884,BEFORE_FIRM
