@relation 'before_sic_and_firm-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.InterquartileRange-R1,2-O3.0-E6.0-E-as-O-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C4-Llast-weka.filters.unsupervised.attribute.Remove-R4-5-weka.filters.supervised.instance.SpreadSubsample-M0.0-X430.0-S1'

@attribute Tobins_Q numeric
@attribute Profitability numeric
@attribute class {BEFORE_FIRM,BEFORE_SIC}

@data
0.420892,0.411337,BEFORE_FIRM
0.421663,0.424867,BEFORE_FIRM
0.420787,0.428653,BEFORE_FIRM
0.421651,0.45219,BEFORE_FIRM
0.422025,0.434007,BEFORE_FIRM
0.418197,0.409107,BEFORE_FIRM
0.421292,0.423252,BEFORE_FIRM
0.417074,0.422097,BEFORE_FIRM
0.422683,0.42078,BEFORE_FIRM
0.422272,0.423798,BEFORE_FIRM
0.417116,0.421159,BEFORE_FIRM
0.422329,0.385243,BEFORE_FIRM
0.423448,0.426969,BEFORE_FIRM
0.420924,0.446163,BEFORE_FIRM
0.42368,0.388989,BEFORE_FIRM
0.42037,0.427577,BEFORE_FIRM
0.418484,0.402207,BEFORE_FIRM
0.423184,0.377659,BEFORE_FIRM
0.419561,0.384679,BEFORE_FIRM
0.419047,0.424192,BEFORE_FIRM
0.412484,0.415635,BEFORE_FIRM
0.419595,0.397936,BEFORE_FIRM
0.417313,0.419641,BEFORE_FIRM
0.420288,0.433482,BEFORE_FIRM
0.441808,0.435776,BEFORE_FIRM
0.417946,0.444297,BEFORE_FIRM
0.419978,0.42945,BEFORE_FIRM
0.424793,0.441695,BEFORE_FIRM
0.418022,0.431266,BEFORE_FIRM
0.421314,0.461501,BEFORE_FIRM
0.428971,0.336815,BEFORE_FIRM
0.427201,0.445743,BEFORE_FIRM
0.420024,0.399137,BEFORE_FIRM
0.427203,0.38362,BEFORE_FIRM
0.421097,0.376844,BEFORE_FIRM
0.42322,0.447959,BEFORE_FIRM
0.419266,0.408728,BEFORE_FIRM
0.426505,0.368934,BEFORE_FIRM
0.416095,0.467689,BEFORE_FIRM
0.41966,0.391136,BEFORE_FIRM
0.40624,0.41727,BEFORE_FIRM
0.420553,0.420945,BEFORE_FIRM
0.422344,0.440875,BEFORE_FIRM
0.398742,0.342731,BEFORE_FIRM
0.420074,0.372521,BEFORE_FIRM
0.41966,0.391136,BEFORE_FIRM
0.42293,0.445298,BEFORE_FIRM
0.424092,0.412714,BEFORE_FIRM
0.421139,0.371737,BEFORE_FIRM
0.418254,0.349254,BEFORE_FIRM
0.421791,0.427802,BEFORE_FIRM
0.419141,0.368741,BEFORE_FIRM
0.426871,0.488338,BEFORE_FIRM
0.422068,0.411898,BEFORE_FIRM
0.423428,0.408782,BEFORE_FIRM
0.423382,0.418497,BEFORE_FIRM
0.422153,0.427501,BEFORE_FIRM
0.422838,0.416832,BEFORE_FIRM
0.422081,0.374076,BEFORE_FIRM
0.425579,0.431179,BEFORE_FIRM
0.421695,0.402292,BEFORE_FIRM
0.412808,0.433161,BEFORE_FIRM
0.421364,0.407063,BEFORE_FIRM
0.422345,0.435308,BEFORE_FIRM
0.422261,0.401539,BEFORE_FIRM
0.420242,0.366179,BEFORE_FIRM
0.422594,0.465758,BEFORE_FIRM
0.417272,0.414411,BEFORE_FIRM
0.418269,0.409208,BEFORE_FIRM
0.4208,0.427421,BEFORE_FIRM
0.422966,0.43414,BEFORE_FIRM
0.412925,0.435454,BEFORE_FIRM
0.422485,0.417641,BEFORE_FIRM
0.421842,0.428092,BEFORE_FIRM
0.422972,0.389472,BEFORE_FIRM
0.422138,0.424732,BEFORE_FIRM
0.423838,0.43308,BEFORE_FIRM
0.435586,0.431197,BEFORE_FIRM
0.425793,0.414422,BEFORE_FIRM
0.419534,0.384995,BEFORE_FIRM
0.422701,0.391508,BEFORE_FIRM
0.420287,0.40756,BEFORE_FIRM
0.422407,0.424699,BEFORE_FIRM
0.428472,0.412534,BEFORE_FIRM
0.426628,0.340868,BEFORE_FIRM
0.422095,0.402414,BEFORE_FIRM
0.425512,0.424091,BEFORE_FIRM
0.413922,0.402294,BEFORE_FIRM
0.42174,0.431427,BEFORE_FIRM
0.421396,0.421897,BEFORE_FIRM
0.418598,0.402244,BEFORE_FIRM
0.441187,0.368029,BEFORE_FIRM
0.422523,0.377884,BEFORE_FIRM
0.424207,0.403195,BEFORE_FIRM
0.423304,0.439674,BEFORE_FIRM
0.391714,0.387615,BEFORE_FIRM
0.426061,0.427956,BEFORE_FIRM
0.419956,0.433961,BEFORE_FIRM
0.413523,0.431648,BEFORE_FIRM
0.422646,0.427539,BEFORE_FIRM
0.436798,0.454029,BEFORE_FIRM
0.421952,0.427789,BEFORE_FIRM
0.421437,0.421941,BEFORE_FIRM
0.39812,0.38295,BEFORE_FIRM
0.42159,0.409945,BEFORE_FIRM
0.409542,0.443478,BEFORE_FIRM
0.414211,0.432947,BEFORE_FIRM
0.417607,0.418261,BEFORE_FIRM
0.421542,0.391175,BEFORE_FIRM
0.426324,0.436171,BEFORE_FIRM
0.405372,0.422066,BEFORE_FIRM
0.420974,0.396306,BEFORE_FIRM
0.421983,0.413615,BEFORE_FIRM
0.422592,0.39151,BEFORE_FIRM
0.421177,0.464266,BEFORE_FIRM
0.421498,0.422031,BEFORE_FIRM
0.421889,0.409345,BEFORE_FIRM
0.420348,0.412014,BEFORE_FIRM
0.414862,0.432284,BEFORE_FIRM
0.422305,0.412521,BEFORE_FIRM
0.421464,0.417776,BEFORE_FIRM
0.427118,0.420206,BEFORE_FIRM
0.404582,0.516449,BEFORE_FIRM
0.422966,0.43414,BEFORE_FIRM
0.412455,0.449005,BEFORE_FIRM
0.41717,0.39193,BEFORE_FIRM
0.420848,0.442122,BEFORE_FIRM
0.421083,0.423736,BEFORE_FIRM
0.429001,0.478167,BEFORE_FIRM
0.420834,0.423729,BEFORE_FIRM
0.418838,0.427908,BEFORE_FIRM
0.427625,0.391804,BEFORE_FIRM
0.424389,0.427166,BEFORE_FIRM
0.422117,0.436792,BEFORE_FIRM
0.413898,0.470311,BEFORE_FIRM
0.418623,0.412183,BEFORE_FIRM
0.419185,0.398632,BEFORE_FIRM
0.422466,0.350518,BEFORE_FIRM
0.422515,0.424282,BEFORE_FIRM
0.389523,0.301962,BEFORE_FIRM
0.422703,0.411385,BEFORE_FIRM
0.389855,0.505872,BEFORE_FIRM
0.423741,0.434998,BEFORE_FIRM
0.423524,0.433146,BEFORE_FIRM
0.425876,0.435558,BEFORE_FIRM
0.423252,0.403385,BEFORE_FIRM
0.420933,0.422865,BEFORE_FIRM
0.422147,0.430921,BEFORE_FIRM
0.42444,0.423545,BEFORE_FIRM
0.418319,0.41932,BEFORE_FIRM
0.423376,0.410258,BEFORE_FIRM
0.421536,0.416988,BEFORE_FIRM
0.430389,0.361993,BEFORE_FIRM
0.424104,0.415777,BEFORE_FIRM
0.413722,0.408777,BEFORE_FIRM
0.419703,0.409437,BEFORE_FIRM
0.416305,0.440385,BEFORE_FIRM
0.423008,0.437116,BEFORE_FIRM
0.408583,0.334122,BEFORE_FIRM
0.424866,0.512888,BEFORE_FIRM
0.424384,0.415047,BEFORE_FIRM
0.418342,0.394653,BEFORE_FIRM
0.416324,0.34762,BEFORE_FIRM
0.421951,0.433053,BEFORE_FIRM
0.422345,0.435308,BEFORE_FIRM
0.421239,0.405144,BEFORE_FIRM
0.417425,0.425508,BEFORE_FIRM
0.409357,0.433939,BEFORE_FIRM
0.421973,0.401302,BEFORE_FIRM
0.417209,0.381122,BEFORE_FIRM
0.406116,0.357168,BEFORE_FIRM
0.415201,0.409052,BEFORE_FIRM
0.423167,0.397111,BEFORE_FIRM
0.417049,0.424851,BEFORE_FIRM
0.413936,0.36731,BEFORE_FIRM
0.423028,0.417169,BEFORE_FIRM
0.42033,0.477631,BEFORE_FIRM
0.421791,0.427802,BEFORE_FIRM
0.420843,0.414631,BEFORE_FIRM
0.418117,0.331893,BEFORE_FIRM
0.420928,0.422668,BEFORE_FIRM
0.433553,0.530369,BEFORE_FIRM
0.422631,0.425529,BEFORE_FIRM
0.423778,0.307692,BEFORE_FIRM
0.418241,0.338214,BEFORE_FIRM
0.420593,0.395336,BEFORE_FIRM
0.421551,0.432449,BEFORE_FIRM
0.415755,0.397743,BEFORE_FIRM
0.418226,0.367257,BEFORE_FIRM
0.4217,0.422081,BEFORE_FIRM
0.418704,0.395587,BEFORE_FIRM
0.424066,0.394233,BEFORE_FIRM
0.421075,0.375306,BEFORE_FIRM
0.422115,0.415955,BEFORE_FIRM
0.421963,0.417129,BEFORE_FIRM
0.421031,0.429803,BEFORE_FIRM
0.411359,0.41228,BEFORE_FIRM
0.419378,0.423607,BEFORE_FIRM
0.423686,0.394219,BEFORE_FIRM
0.42293,0.445298,BEFORE_FIRM
0.416419,0.389222,BEFORE_FIRM
0.414183,0.421779,BEFORE_FIRM
0.424444,0.405639,BEFORE_FIRM
0.421305,0.421467,BEFORE_FIRM
0.408164,0.391735,BEFORE_FIRM
0.39372,0.313698,BEFORE_FIRM
0.420988,0.43366,BEFORE_FIRM
0.424569,0.406812,BEFORE_FIRM
0.423482,0.393567,BEFORE_FIRM
0.410629,0.342898,BEFORE_FIRM
0.42194,0.427279,BEFORE_FIRM
0.413392,0.424459,BEFORE_FIRM
0.423184,0.448306,BEFORE_FIRM
0.423036,0.41382,BEFORE_FIRM
0.40749,0.40501,BEFORE_FIRM
0.41966,0.391136,BEFORE_FIRM
0.42114,0.42835,BEFORE_FIRM
0.415486,0.396459,BEFORE_FIRM
0.420288,0.433482,BEFORE_FIRM
0.41374,0.439088,BEFORE_FIRM
0.421433,0.376358,BEFORE_FIRM
0.390837,0.368971,BEFORE_FIRM
0.422425,0.434477,BEFORE_FIRM
0.425643,0.42631,BEFORE_FIRM
0.433553,0.530369,BEFORE_FIRM
0.400972,0.431177,BEFORE_FIRM
0.422612,0.395432,BEFORE_FIRM
0.42242,0.405406,BEFORE_FIRM
0.432259,0.370551,BEFORE_FIRM
0.422233,0.395172,BEFORE_FIRM
0.407987,0.437696,BEFORE_FIRM
0.421729,0.392788,BEFORE_FIRM
