@RELATION during_sic_and_firm

@ATTRIBUTE Tobins_Q NUMERIC
@ATTRIBUTE Profitability NUMERIC
@ATTRIBUTE class {DURING_FIRM,DURING_SIC}

@DATA
-0.002559144,2.12669E-05,DURING_FIRM
-0.008887589,-0.000131955,DURING_FIRM
-0.106453165,0.004014133,DURING_FIRM
0.006230921,-0.004112336,DURING_FIRM
0.023802206,-0.003592665,DURING_FIRM
0.007311039,0.003553719,DURING_FIRM
-0.006832974,0.001710135,DURING_FIRM
-5.19744E-05,0.003494296,DURING_FIRM
-5.19744E-05,0.003494296,DURING_FIRM
-0.003733779,0.001924531,DURING_FIRM
-0.001650146,0.001776906,DURING_FIRM
0.026974857,-0.003514279,DURING_FIRM
0.010989994,-0.001203553,DURING_FIRM
0.010989994,-0.001203553,DURING_FIRM
-0.010243705,0.005587851,DURING_FIRM
0.001866287,0.00084342,DURING_FIRM
0.006995726,0.000389669,DURING_FIRM
-0.046827607,0.002189069,DURING_FIRM
-0.002167198,0.002295087,DURING_FIRM
-0.002167198,0.002295087,DURING_FIRM
0.006689951,0.001766589,DURING_FIRM
-0.014708495,0.001620613,DURING_FIRM
0.018688947,0.005592321,DURING_FIRM
-0.002730669,0.001539347,DURING_FIRM
-0.002730669,0.001539347,DURING_FIRM
-0.004002038,0.002117298,DURING_FIRM
-0.004002038,0.002117298,DURING_FIRM
-0.012388699,0.017430468,DURING_FIRM
0.033575155,0.000417997,DURING_FIRM
-0.005155828,0.026487838,DURING_FIRM
0.007577104,0.000127734,DURING_FIRM
0.001865346,0.002758597,DURING_FIRM
-0.004514113,-0.000114777,DURING_FIRM
0.000785291,-0.005956167,DURING_FIRM
-0.005364377,0.001657838,DURING_FIRM
-0.001922861,-0.000734139,DURING_FIRM
-0.005788063,0.001928569,DURING_FIRM
-0.005089948,0.010208626,DURING_FIRM
-0.002253808,0.004969357,DURING_FIRM
-0.007102097,0.002700159,DURING_FIRM
-0.001626327,-0.001099643,DURING_FIRM
-0.001626327,-0.001099643,DURING_FIRM
0.001359754,-0.002027758,DURING_FIRM
-0.002278565,0.000447804,DURING_FIRM
-0.001403598,-0.000918287,DURING_FIRM
-0.001403598,-0.000918287,DURING_FIRM
-0.001553118,0.000582687,DURING_FIRM
-0.081862584,8.36163E-05,DURING_FIRM
0.065149069,0.037795871,DURING_FIRM
-0.008643473,-0.003213161,DURING_FIRM
-1.91728E-06,0.018822558,DURING_FIRM
0.275620967,-0.0075293,DURING_FIRM
-0.000482077,0.000259615,DURING_FIRM
-0.033165809,0.014113221,DURING_FIRM
-0.011511527,-0.001530347,DURING_FIRM
